,,,,,,,,,,,,,,,,,,,
,,,,,,,FTI,FMC Technologies Inc. (FTI),US Stock,,,,,,,,FMC Technologies Inc. (FTI),FTI,US Stock
,,,,,,,FL,Foot Locker Inc (FL),US Stock,,,,,,,,Foot Locker Inc (FL),FL,US Stock
,,,,,,,F,Ford Motor (F),US Stock,,,,,,,,Ford Motor (F),F,US Stock
,,,,,,,FTV,Fortive Corp (FTV),US Stock,,,,,,,,Fortive Corp (FTV),FTV,US Stock
,,,,,,,FBHS,Fortune Brands Home & Security (FBHS),US Stock,,,,,,,,Fortune Brands Home & Security (FBHS),FBHS,US Stock
,,,,,,,BEN,Franklin Resources (BEN),US Stock,,,,,,,,Franklin Resources (BEN),BEN,US Stock
,,,,,,,FCX,Freeport-McMoran Cp & Gld (FCX),US Stock,,,,,,,,Freeport-McMoran Cp & Gld (FCX),FCX,US Stock
,,,,,,,FTR,Frontier Communications (FTR),US Stock,,,,,,,,Frontier Communications (FTR),FTR,US Stock
,,,,,,,GPS,Gap (The) (GPS),US Stock,,,,,,,,Gap (The) (GPS),GPS,US Stock
,,,,,,,GRMN,Garmin Ltd. (GRMN),US Stock,,,,,,,,Garmin Ltd. (GRMN),GRMN,US Stock
,,,,,,,GD,General Dynamics (GD),US Stock,,,,,,,,General Dynamics (GD),GD,US Stock
,,,,,,,GE,General Electric (GE),US Stock,,,,,,,,General Electric (GE),GE,US Stock
,,,,,,,GGP,General Growth Properties Inc. (GGP),US Stock,,,,,,,,General Growth Properties Inc. (GGP),GGP,US Stock
